Time,Unix Time,CPU Utilization (%),RAM Utilization (MB)
2023-09-13 10:54:22,1694595262,5.0,311.062
2023-09-13 10:54:23,1694595263,4.8,311.328
2023-09-13 10:54:24,1694595264,1.8,311.703
2023-09-13 10:54:25,1694595265,9.6,320.328
2023-09-13 10:54:26,1694595266,4.5,320.516
2023-09-13 10:54:27,1694595267,6.1,320.906
2023-09-13 10:54:28,1694595268,4.7,321.156
2023-09-13 10:54:30,1694595270,4.2,321.453
2023-09-13 10:54:31,1694595271,2.3,321.641
2023-09-13 10:54:32,1694595272,4.6,321.969
2023-09-13 10:54:33,1694595273,8.7,322.203
2023-09-13 10:54:34,1694595274,3.0,322.422
2023-09-13 10:54:35,1694595275,4.9,322.891
2023-09-13 10:54:36,1694595276,3.1,323.141
2023-09-13 10:54:37,1694595277,2.0,323.344
2023-09-13 10:54:38,1694595278,5.0,324.344
2023-09-13 10:54:39,1694595279,3.0,324.562
2023-09-13 10:54:41,1694595281,7.1,324.781
2023-09-13 10:54:42,1694595282,3.1,324.984
2023-09-13 10:54:43,1694595283,4.2,325.172
2023-09-13 10:54:44,1694595284,2.6,325.891
2023-09-13 10:54:45,1694595285,4.6,326.109
2023-09-13 10:54:46,1694595286,2.0,326.328
2023-09-13 10:54:47,1694595287,1.8,326.531
2023-09-13 10:54:48,1694595288,3.4,326.734
2023-09-13 10:54:49,1694595289,2.9,326.938
2023-09-13 10:54:50,1694595290,5.7,327.406
2023-09-13 10:54:51,1694595291,8.2,327.875
2023-09-13 10:54:53,1694595293,5.7,328.141
2023-09-13 10:54:54,1694595294,5.9,335.812
2023-09-13 10:54:55,1694595295,3.1,336
2023-09-13 10:54:56,1694595296,5.4,336.203
2023-09-13 10:54:57,1694595297,4.1,336.516
2023-09-13 10:54:58,1694595298,2.6,336.797
2023-09-13 10:54:59,1694595299,1.9,337.031
2023-09-13 10:55:00,1694595300,6.3,337.578
2023-09-13 10:55:01,1694595301,4.7,337.859
2023-09-13 10:55:02,1694595302,2.8,338.188
2023-09-13 10:55:04,1694595304,4.3,338.391
2023-09-13 10:55:05,1694595305,6.1,338.609
2023-09-13 10:55:06,1694595306,4.5,338.797
2023-09-13 10:55:07,1694595307,4.4,338.984
2023-09-13 10:55:08,1694595308,2.9,339.172
2023-09-13 10:55:09,1694595309,3.3,339.453
2023-09-13 10:55:10,1694595310,3.9,339.688
2023-09-13 10:55:11,1694595311,19.8,340.359
2023-09-13 10:55:12,1694595312,5.3,340.547
2023-09-13 10:55:13,1694595313,4.8,340.766
2023-09-13 10:55:15,1694595315,4.7,340.953
2023-09-13 10:55:16,1694595316,8.5,341.312
2023-09-13 10:55:17,1694595317,7.2,341.5
2023-09-13 10:55:18,1694595318,8.0,341.688
2023-09-13 10:55:19,1694595319,22.0,343.266
2023-09-13 10:55:20,1694595320,5.1,343.469
2023-09-13 10:55:21,1694595321,2.3,343.75
2023-09-13 10:55:22,1694595322,9.8,343.938
2023-09-13 10:55:23,1694595323,6.4,344.141
2023-09-13 10:55:24,1694595324,9.7,344.359
2023-09-13 10:55:26,1694595326,3.8,344.578
2023-09-13 10:55:27,1694595327,3.6,344.781
2023-09-13 10:55:28,1694595328,6.0,353.016
2023-09-13 10:55:29,1694595329,4.2,353.203
2023-09-13 10:55:30,1694595330,5.1,353.484
2023-09-13 10:55:31,1694595331,5.9,353.703
2023-09-13 10:55:32,1694595332,5.6,353.906
2023-09-13 10:55:33,1694595333,5.1,354.094
2023-09-13 10:55:34,1694595334,4.3,354.422
2023-09-13 10:55:35,1694595335,4.2,354.656
2023-09-13 10:55:37,1694595337,15.9,354.906
2023-09-13 10:55:38,1694595338,6.7,355.094
2023-09-13 10:55:39,1694595339,4.4,355.281
2023-09-13 10:55:40,1694595340,2.5,359.547
2023-09-13 10:55:41,1694595341,10.5,359.75
2023-09-13 10:55:42,1694595342,7.5,360.016
2023-09-13 10:55:43,1694595343,9.0,360.344
2023-09-13 10:55:44,1694595344,3.2,360.547
2023-09-13 10:55:45,1694595345,4.0,360.766
2023-09-13 10:55:46,1694595346,5.6,361.062
2023-09-13 10:55:47,1694595347,4.2,361.297
2023-09-13 10:55:49,1694595349,4.5,361.484
2023-09-13 10:55:50,1694595350,2.7,361.672
2023-09-13 10:55:51,1694595351,4.4,361.875
2023-09-13 10:55:52,1694595352,5.6,362.078
2023-09-13 10:55:53,1694595353,4.7,362.375
2023-09-13 10:55:54,1694595354,4.3,362.578
2023-09-13 10:55:55,1694595355,5.3,362.766
2023-09-13 10:55:56,1694595356,5.2,362.969
2023-09-13 10:55:57,1694595357,2.8,363.156
2023-09-13 10:55:58,1694595358,10.9,363.469
2023-09-13 10:56:00,1694595360,2.5,369.078
2023-09-13 10:56:01,1694595361,3.2,369.266
2023-09-13 10:56:02,1694595362,5.5,369.531
2023-09-13 10:56:03,1694595363,3.5,369.719
2023-09-13 10:56:04,1694595364,4.6,369.906
2023-09-13 10:56:05,1694595365,3.4,370.219
2023-09-13 10:56:06,1694595366,3.5,370.406
2023-09-13 10:56:07,1694595367,7.2,370.594
2023-09-13 10:56:08,1694595368,5.6,370.781
2023-09-13 10:56:09,1694595369,5.2,371
2023-09-13 10:56:11,1694595371,3.9,371.297
2023-09-13 10:56:12,1694595372,3.5,371.484
2023-09-13 10:56:13,1694595373,3.9,371.719
2023-09-13 10:56:14,1694595374,5.9,371.906
2023-09-13 10:56:15,1694595375,5.3,372.109
2023-09-13 10:56:16,1694595376,4.0,372.422
2023-09-13 10:56:17,1694595377,3.7,372.719
2023-09-13 10:56:18,1694595378,3.5,372.922
2023-09-13 10:56:19,1694595379,1.9,373.109
2023-09-13 10:56:20,1694595380,2.6,373.406
2023-09-13 10:56:22,1694595382,5.0,373.609
2023-09-13 10:56:23,1694595383,3.2,373.922
2023-09-13 10:56:24,1694595384,4.8,374.125
2023-09-13 10:56:25,1694595385,2.6,374.328
2023-09-13 10:56:26,1694595386,5.0,374.562
2023-09-13 10:56:27,1694595387,5.4,374.75
2023-09-13 10:56:28,1694595388,3.9,374.969
