Time,Unix Time,CPU Utilization (%),RAM Utilization (MB)
2023-09-13 05:37:37,1694576257,7.4,218.922
2023-09-13 05:37:38,1694576258,2.0,219.109
2023-09-13 05:37:39,1694576259,1.5,219.484
2023-09-13 05:37:40,1694576260,0.7,219.859
2023-09-13 05:37:41,1694576261,0.5,220.375
2023-09-13 05:37:43,1694576263,0.6,220.688
2023-09-13 05:37:44,1694576264,0.5,221.188
2023-09-13 05:37:45,1694576265,0.4,221.516
2023-09-13 05:37:46,1694576266,0.6,221.828
2023-09-13 05:37:47,1694576267,0.6,222.156
2023-09-13 05:37:48,1694576268,0.5,222.766
2023-09-13 05:37:49,1694576269,4.3,223.078
2023-09-13 05:37:50,1694576270,3.3,223.359
2023-09-13 05:37:51,1694576271,3.0,223.594
2023-09-13 05:37:52,1694576272,2.0,223.828
2023-09-13 05:37:53,1694576273,5.1,224.094
2023-09-13 05:37:54,1694576274,1.8,224.391
2023-09-13 05:37:56,1694576276,2.6,225.25
2023-09-13 05:37:57,1694576277,1.0,225.531
2023-09-13 05:37:58,1694576278,3.3,225.688
2023-09-13 05:37:59,1694576279,1.7,225.938
2023-09-13 05:38:00,1694576280,1.6,226.375
2023-09-13 05:38:01,1694576281,1.2,227.172
2023-09-13 05:38:02,1694576282,0.5,227.688
2023-09-13 05:38:03,1694576283,4.3,228.156
2023-09-13 05:38:04,1694576284,1.0,228.531
2023-09-13 05:38:05,1694576285,1.3,228.844
2023-09-13 05:38:06,1694576286,1.3,229.203
2023-09-13 05:38:07,1694576287,1.7,229.453
2023-09-13 05:38:08,1694576289,1.0,229.75
2023-09-13 05:38:10,1694576290,0.8,229.906
2023-09-13 05:38:11,1694576291,1.0,230.422
2023-09-13 05:38:12,1694576292,0.5,230.891
2023-09-13 05:38:13,1694576293,1.2,231.203
2023-09-13 05:38:14,1694576294,0.7,231.5
2023-09-13 05:38:15,1694576295,1.1,231.703
2023-09-13 05:38:16,1694576296,0.5,232.234
2023-09-13 05:38:17,1694576297,2.6,232.766
2023-09-13 05:38:18,1694576298,6.7,232.984
2023-09-13 05:38:19,1694576299,4.3,233.266
2023-09-13 05:38:20,1694576300,5.2,233.547
2023-09-13 05:38:21,1694576301,1.8,233.953
2023-09-13 05:38:23,1694576303,1.7,234.422
2023-09-13 05:38:24,1694576304,0.7,234.766
2023-09-13 05:38:25,1694576305,0.7,235.109
2023-09-13 05:38:26,1694576306,0.7,235.203
2023-09-13 05:38:27,1694576307,0.6,235.547
2023-09-13 05:38:28,1694576308,5.7,241.984
2023-09-13 05:38:29,1694576309,0.6,242.438
2023-09-13 05:38:30,1694576310,1.6,243.016
2023-09-13 05:38:31,1694576311,12.0,243.125
2023-09-13 05:38:32,1694576312,2.4,243.594
2023-09-13 05:38:33,1694576313,29.7,247.094
2023-09-13 05:38:34,1694576314,4.4,247.328
2023-09-13 05:38:35,1694576316,2.7,247.766
