Time,Unix Time,CPU Utilization (%),RAM Utilization (MB)
2023-09-13 06:02:40,1694577760,0.0,80.2188
2023-09-13 06:02:41,1694577761,0.0,80.2188
2023-09-13 06:02:42,1694577762,0.1,80.3125
2023-09-13 06:02:43,1694577763,24.1,95.9531
2023-09-13 06:02:44,1694577764,26.7,102.938
2023-09-13 06:02:45,1694577765,22.6,107.203
2023-09-13 06:02:46,1694577766,15.1,117.141
2023-09-13 06:02:48,1694577768,19.5,124.547
2023-09-13 06:02:49,1694577769,11.6,132.688
2023-09-13 06:02:50,1694577770,11.3,143.25
2023-09-13 06:02:51,1694577771,28.3,150.734
2023-09-13 06:02:52,1694577772,8.5,156.844
2023-09-13 06:02:53,1694577773,9.8,163.594
2023-09-13 06:02:54,1694577774,3.6,169.5
2023-09-13 06:02:55,1694577775,18.9,175.625
2023-09-13 06:02:56,1694577776,19.9,192.188
2023-09-13 06:02:57,1694577777,12.5,193.188
2023-09-13 06:02:58,1694577778,5.6,194.609
2023-09-13 06:03:00,1694577780,25.4,196.719
2023-09-13 06:03:01,1694577781,10.1,198.047
2023-09-13 06:03:02,1694577782,6.5,201.453
2023-09-13 06:03:03,1694577783,6.4,204.75
2023-09-13 06:03:04,1694577784,8.6,207.453
2023-09-13 06:03:05,1694577785,6.6,209.969
2023-09-13 06:03:06,1694577786,9.3,212.797
2023-09-13 06:03:07,1694577787,6.2,215.172
2023-09-13 06:03:08,1694577788,6.9,218.094
2023-09-13 06:03:09,1694577789,10.2,221.203
2023-09-13 06:03:10,1694577790,9.6,223.875
2023-09-13 06:03:12,1694577792,4.6,226.297
2023-09-13 06:03:13,1694577793,8.9,229.406
2023-09-13 06:03:14,1694577794,7.6,236.172
2023-09-13 06:03:15,1694577795,6.5,242.281
2023-09-13 06:03:16,1694577796,21.2,270.578
2023-09-13 06:03:17,1694577797,7.9,271.656
2023-09-13 06:03:18,1694577798,5.3,279.547
2023-09-13 06:03:19,1694577799,4.6,280.562
2023-09-13 06:03:20,1694577800,8.0,282.453
2023-09-13 06:03:21,1694577801,19.3,283.969
2023-09-13 06:03:23,1694577803,10.3,285.672
2023-09-13 06:03:24,1694577804,7.5,286.766
2023-09-13 06:03:25,1694577805,5.9,288.109
2023-09-13 06:03:26,1694577806,8.5,289.484
2023-09-13 06:03:27,1694577807,5.8,290.969
2023-09-13 06:03:28,1694577808,5.9,292.266
2023-09-13 06:03:29,1694577809,14.9,293.625
2023-09-13 06:03:30,1694577810,6.1,294.891
2023-09-13 06:03:31,1694577811,11.0,296.922
2023-09-13 06:03:32,1694577812,3.8,297.969
2023-09-13 06:03:34,1694577814,9.5,299.453
2023-09-13 06:03:35,1694577815,11.4,316.422
2023-09-13 06:03:36,1694577816,8.2,317.641
2023-09-13 06:03:37,1694577817,4.5,318.719
2023-09-13 06:03:38,1694577818,4.9,319.719
2023-09-13 06:03:39,1694577819,6.3,321.172
2023-09-13 06:03:40,1694577820,5.0,322.234
2023-09-13 06:03:41,1694577821,5.6,323.562
2023-09-13 06:03:42,1694577822,5.3,324.672
2023-09-13 06:03:43,1694577823,13.5,326.906
2023-09-13 06:03:45,1694577825,25.1,328.516
2023-09-13 06:03:46,1694577826,6.6,329.703
2023-09-13 06:03:47,1694577827,4.9,330.734
2023-09-13 06:03:48,1694577828,6.5,331.984
2023-09-13 06:03:49,1694577829,7.0,333.141
2023-09-13 06:03:50,1694577830,5.0,336.203
2023-09-13 06:03:51,1694577831,5.7,337.25
2023-09-13 06:03:52,1694577832,19.2,338.953
2023-09-13 06:03:53,1694577833,7.9,340.125
2023-09-13 06:03:54,1694577834,6.3,341.328
2023-09-13 06:03:56,1694577836,5.0,342.297
2023-09-13 06:03:57,1694577837,6.4,347.422
2023-09-13 06:03:58,1694577838,13.5,379.016
2023-09-13 06:03:59,1694577839,4.8,380
2023-09-13 06:04:00,1694577840,8.2,381.422
2023-09-13 06:04:01,1694577841,5.8,382.438
2023-09-13 06:04:02,1694577842,8.2,383.547
2023-09-13 06:04:03,1694577843,7.1,384.75
2023-09-13 06:04:04,1694577844,5.9,385.859
2023-09-13 06:04:05,1694577845,6.6,386.859
2023-09-13 06:04:07,1694577847,10.8,388.016
2023-09-13 06:04:08,1694577848,5.3,389
2023-09-13 06:04:09,1694577849,4.7,390.062
2023-09-13 06:04:10,1694577850,10.6,391.078
2023-09-13 06:04:11,1694577851,5.5,392.125
2023-09-13 06:04:12,1694577852,6.7,393.172
2023-09-13 06:04:13,1694577853,6.3,394.219
2023-09-13 06:04:14,1694577854,5.6,395.266
2023-09-13 06:04:15,1694577855,21.2,396.281
2023-09-13 06:04:16,1694577856,17.8,398.297
2023-09-13 06:04:18,1694577858,28.0,399.359
2023-09-13 06:04:19,1694577859,13.6,416.859
2023-09-13 06:04:20,1694577860,5.9,417.922
2023-09-13 06:04:21,1694577861,6.3,419
2023-09-13 06:04:22,1694577862,12.3,420.047
2023-09-13 06:04:23,1694577863,5.0,421.125
