Time,Unix Time,CPU Utilization (%),RAM Utilization (MB)
2023-09-13 11:13:02,1694596382,1.8,221.844
2023-09-13 11:13:03,1694596383,1.1,222.266
2023-09-13 11:13:04,1694596384,0.2,223.031
2023-09-13 11:13:05,1694596385,1.9,223.422
2023-09-13 11:13:06,1694596386,1.2,223.844
2023-09-13 11:13:07,1694596387,0.6,224.312
2023-09-13 11:13:08,1694596388,0.7,224.922
2023-09-13 11:13:09,1694596389,1.5,225.375
2023-09-13 11:13:10,1694596390,1.8,225.891
2023-09-13 11:13:12,1694596392,1.8,226.328
2023-09-13 11:13:13,1694596393,2.0,226.938
2023-09-13 11:13:14,1694596394,1.0,227.547
2023-09-13 11:13:15,1694596395,3.3,228.016
2023-09-13 11:13:16,1694596396,0.6,228.547
2023-09-13 11:13:17,1694596397,0.4,229.219
2023-09-13 11:13:18,1694596398,8.6,229.938
2023-09-13 11:13:19,1694596399,3.8,230.453
2023-09-13 11:13:20,1694596400,0.5,230.875
2023-09-13 11:13:21,1694596401,0.8,231.469
2023-09-13 11:13:22,1694596402,0.5,231.953
2023-09-13 11:13:24,1694596404,1.8,232.359
2023-09-13 11:13:25,1694596405,2.0,232.75
2023-09-13 11:13:26,1694596406,3.5,233.203
2023-09-13 11:13:27,1694596407,0.7,233.688
2023-09-13 11:13:28,1694596408,0.5,234.219
2023-09-13 11:13:29,1694596409,1.8,234.781
2023-09-13 11:13:30,1694596410,2.0,235.172
2023-09-13 11:13:31,1694596411,0.8,235.766
2023-09-13 11:13:32,1694596412,4.2,236.234
2023-09-13 11:13:33,1694596413,0.7,237.125
2023-09-13 11:13:35,1694596415,0.6,238.203
2023-09-13 11:13:36,1694596416,0.4,239.688
2023-09-13 11:13:37,1694596417,7.2,240.859
2023-09-13 11:13:38,1694596418,1.3,242.266
2023-09-13 11:13:39,1694596419,1.9,243.578
2023-09-13 11:13:40,1694596420,0.7,244.812
2023-09-13 11:13:41,1694596421,4.7,246.594
2023-09-13 11:13:42,1694596422,6.4,247.797
2023-09-13 11:13:43,1694596423,1.8,249.031
2023-09-13 11:13:44,1694596424,3.4,250.281
2023-09-13 11:13:46,1694596426,0.6,251.469
2023-09-13 11:13:47,1694596427,0.6,252.656
2023-09-13 11:13:48,1694596428,2.1,254.422
2023-09-13 11:13:49,1694596429,1.5,255.594
2023-09-13 11:13:50,1694596430,2.5,256.797
2023-09-13 11:13:51,1694596431,11.9,258.281
2023-09-13 11:13:52,1694596432,0.4,259.469
2023-09-13 11:13:53,1694596433,0.4,260.672
2023-09-13 11:13:54,1694596434,2.3,284.234
2023-09-13 11:13:55,1694596435,6.8,284.438
2023-09-13 11:13:57,1694596437,1.2,284.625
2023-09-13 11:13:58,1694596438,1.3,284.984
2023-09-13 11:13:59,1694596439,12.3,288.953
2023-09-13 11:14:00,1694596440,1.8,289.234
2023-09-13 11:14:01,1694596441,4.5,289.734
2023-09-13 11:14:02,1694596442,0.7,289.984
2023-09-13 11:14:03,1694596443,1.7,290.312
2023-09-13 11:14:04,1694596444,1.1,290.516
2023-09-13 11:14:05,1694596445,0.5,290.703
2023-09-13 11:14:06,1694596446,0.4,291.094
2023-09-13 11:14:07,1694596447,3.4,291.281
2023-09-13 11:14:09,1694596449,0.8,291.516
2023-09-13 11:14:10,1694596450,1.8,291.812
2023-09-13 11:14:11,1694596451,1.3,292.125
2023-09-13 11:14:12,1694596452,0.2,292.344
2023-09-13 11:14:13,1694596453,2.6,292.672
2023-09-13 11:14:14,1694596454,1.9,292.875
2023-09-13 11:14:15,1694596455,4.9,293.094
2023-09-13 11:14:16,1694596456,1.4,293.297
2023-09-13 11:14:17,1694596457,1.0,293.516
2023-09-13 11:14:18,1694596458,0.3,293.703
2023-09-13 11:14:19,1694596459,0.6,294.094
2023-09-13 11:14:21,1694596461,2.3,294.297
2023-09-13 11:14:22,1694596462,4.9,294.656
2023-09-13 11:14:23,1694596463,4.3,294.984
2023-09-13 11:14:24,1694596464,0.5,295.172
2023-09-13 11:14:25,1694596465,5.6,295.422
2023-09-13 11:14:26,1694596466,1.6,295.734
2023-09-13 11:14:27,1694596467,4.1,295.953
2023-09-13 11:14:28,1694596468,0.9,296.141
2023-09-13 11:14:29,1694596469,7.0,296.406
2023-09-13 11:14:30,1694596470,0.8,296.594
2023-09-13 11:14:32,1694596472,1.3,296.891
2023-09-13 11:14:33,1694596473,4.0,297.188
2023-09-13 11:14:34,1694596474,2.3,297.375
2023-09-13 11:14:35,1694596475,1.6,297.594
2023-09-13 11:14:36,1694596476,0.3,297.812
2023-09-13 11:14:37,1694596477,0.9,298
2023-09-13 11:14:38,1694596478,1.7,298.234
2023-09-13 11:14:39,1694596479,0.4,298.531
2023-09-13 11:14:40,1694596480,3.0,298.719
2023-09-13 11:14:41,1694596481,0.7,298.922
2023-09-13 11:14:43,1694596483,0.4,299.312
2023-09-13 11:14:44,1694596484,0.8,299.531
2023-09-13 11:14:45,1694596485,0.7,299.812
2023-09-13 11:14:46,1694596486,1.5,300.016
2023-09-13 11:14:47,1694596487,0.3,300.25
2023-09-13 11:14:48,1694596488,3.4,300.438
2023-09-13 11:14:49,1694596489,1.1,300.656
2023-09-13 11:14:50,1694596490,0.6,300.844
2023-09-13 11:14:51,1694596491,0.5,301.125
2023-09-13 11:14:52,1694596492,0.3,301.344
2023-09-13 11:14:53,1694596493,1.0,301.531
2023-09-13 11:14:55,1694596495,1.0,301.734
2023-09-13 11:14:56,1694596496,1.3,302.328
2023-09-13 11:14:57,1694596497,0.6,302.531
2023-09-13 11:14:58,1694596498,0.3,302.828
2023-09-13 11:14:59,1694596499,1.9,303.062
2023-09-13 11:15:00,1694596500,1.3,303.266
2023-09-13 11:15:01,1694596501,1.3,303.469
