Time,Unix Time,CPU Utilization (%),RAM Utilization (MB)
2023-09-13 06:10:38,1694578238,0.0,82.0312
2023-09-13 06:10:39,1694578239,0.0,82.0312
2023-09-13 06:10:40,1694578240,0.0,93.125
2023-09-13 06:10:42,1694578242,31.5,99.1562
2023-09-13 06:10:43,1694578243,21.7,103.156
2023-09-13 06:10:44,1694578244,48.2,116.953
2023-09-13 06:10:45,1694578245,28.4,124.688
2023-09-13 06:10:46,1694578246,34.9,132.672
2023-09-13 06:10:47,1694578247,22.1,143.594
2023-09-13 06:10:48,1694578248,13.9,154.109
2023-09-13 06:10:49,1694578249,28.1,163.5
2023-09-13 06:10:50,1694578250,22.1,171.312
2023-09-13 06:10:51,1694578251,11.9,180.016
2023-09-13 06:10:52,1694578252,15.0,196.047
2023-09-13 06:10:53,1694578253,15.6,197.312
2023-09-13 06:10:55,1694578255,25.3,199.5
2023-09-13 06:10:56,1694578256,17.2,203.453
2023-09-13 06:10:57,1694578257,15.7,206.672
2023-09-13 06:10:58,1694578258,33.9,218.453
2023-09-13 06:10:59,1694578259,9.4,221.375
2023-09-13 06:11:00,1694578260,12.6,224.281
2023-09-13 06:11:01,1694578261,16.4,228.406
2023-09-13 06:11:02,1694578262,13.8,231.719
2023-09-13 06:11:03,1694578263,12.9,235.453
2023-09-13 06:11:04,1694578264,16.2,245.25
2023-09-13 06:11:05,1694578265,15.0,256.469
2023-09-13 06:11:07,1694578267,26.1,283.5
2023-09-13 06:11:08,1694578268,12.0,284.922
2023-09-13 06:11:09,1694578269,12.6,286.016
2023-09-13 06:11:10,1694578270,17.6,287.188
2023-09-13 06:11:11,1694578271,12.8,288.109
2023-09-13 06:11:12,1694578272,18.0,290.328
2023-09-13 06:11:13,1694578273,13.4,291.938
2023-09-13 06:11:14,1694578274,15.9,293.438
2023-09-13 06:11:15,1694578275,50.7,302.281
2023-09-13 06:11:16,1694578276,19.3,304.547
2023-09-13 06:11:17,1694578277,51.1,338.031
2023-09-13 06:11:19,1694578279,24.2,339.125
2023-09-13 06:11:20,1694578280,20.9,340.344
2023-09-13 06:11:21,1694578281,14.1,341.844
2023-09-13 06:11:22,1694578282,15.6,343
2023-09-13 06:11:23,1694578283,12.1,344.234
2023-09-13 06:11:24,1694578284,13.0,345.375
2023-09-13 06:11:25,1694578285,9.7,346.531
2023-09-13 06:11:26,1694578286,15.6,347.672
2023-09-13 06:11:27,1694578287,18.6,349.031
2023-09-13 06:11:28,1694578288,13.6,359.719
2023-09-13 06:11:30,1694578290,15.4,360.828
2023-09-13 06:11:31,1694578291,11.9,361.828
2023-09-13 06:11:32,1694578292,10.9,362.953
2023-09-13 06:11:33,1694578293,13.5,364.047
2023-09-13 06:11:34,1694578294,18.2,365.438
2023-09-13 06:11:35,1694578295,19.1,366.438
2023-09-13 06:11:36,1694578296,18.8,367.484
2023-09-13 06:11:37,1694578297,14.2,368.719
2023-09-13 06:11:38,1694578298,17.1,377.797
2023-09-13 06:11:39,1694578299,14.9,378.875
2023-09-13 06:11:41,1694578301,19.4,380
2023-09-13 06:11:42,1694578302,12.7,380.984
2023-09-13 06:11:43,1694578303,22.2,385.266
2023-09-13 06:11:44,1694578304,14.8,386.25
2023-09-13 06:11:45,1694578305,20.9,387.344
2023-09-13 06:11:46,1694578306,16.1,388.344
2023-09-13 06:11:47,1694578307,20.1,397.375
2023-09-13 06:11:48,1694578308,15.4,399.438
2023-09-13 06:11:49,1694578309,14.4,400.406
2023-09-13 06:11:50,1694578310,25.6,403.625
2023-09-13 06:11:52,1694578312,18.4,404.641
2023-09-13 06:11:53,1694578313,10.9,405.953
2023-09-13 06:11:54,1694578314,19.4,407
2023-09-13 06:11:55,1694578315,18.6,408.203
2023-09-13 06:11:56,1694578316,12.5,416.594
2023-09-13 06:11:57,1694578317,28.6,419.297
2023-09-13 06:11:58,1694578318,15.9,420.406
2023-09-13 06:11:59,1694578319,17.0,421.531
2023-09-13 06:12:00,1694578320,22.1,422.766
2023-09-13 06:12:01,1694578321,20.7,426.594
2023-09-13 06:12:02,1694578323,13.9,427.75
2023-09-13 06:12:04,1694578324,23.6,435.141
2023-09-13 06:12:05,1694578325,18.3,436.266
2023-09-13 06:12:06,1694578326,10.7,437.234
2023-09-13 06:12:07,1694578327,13.4,438.328
2023-09-13 06:12:08,1694578328,9.7,439.328
2023-09-13 06:12:09,1694578329,12.4,440.438
2023-09-13 06:12:10,1694578330,13.2,441.406
